Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ca.argentixinfo.howtopub.json	3117	-	0	0	0	0	0	0	6	1351	0	0	0	0	0	0	0	1	0	0	181	108	0	0	1	2	0	2
fsh-generated/resources/Patient-PatientExample.json	266	18	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	36	34	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-MyPatient.json	615	27	0	189	0	0	1	0	1	111	0	0	1	0	0	0	0	1	0	0	816	1474	0	0	0	26	0	1
