Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ca.argentixinfo.howtopub.json	2987	-	0	0	0	0	0	0	6	142	0	0	0	0	0	0	0	1	0	0	138	86	0	0	1	2	0	3
fsh-generated/resources/Patient-PatientExample.json	266	17	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	14	37	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-MyPatient.json	615	18	1	0	1	0	0	106	0	88	0	0	0	0	0	0	0	2	0	0	449	5824	0	1	0	9	0	2
